 Title of your event,Short description of your event,Long description of your event,Event date,Event date (end) if you have a multi-day event,Starting time,End time,Event URL,Lisbon,Event type,Speaker(s),Sponsor(s),Address,Venue,Image,Url note
CeFi meets DeFi,How should DeFi and CeFi build the future of finance together or sign up for a no-win fight ?,"To end the first day of Liscon what better than a panel on burning topic a cocktail by the hand ?

-How should DeFi and CeFi build the future of finance together or sign up for a no-win fight ?

Custody, real world DeFi, White labelling, ... No taboos, we are all here for the tech !",10/20/2021,10/20/2021,06:00:00 PM,08:00:00 PM,https://www.eventbrite.com/e/181560049997,"Poço do Borratém 12

12 Poço do Borratém

1100-240 Lisboa

Portugal","conferences, events, panels","Stake Capital : Julien BOUTELOUP @bneiluj

Centrifuge : Lucas VOGELSANG @lucasvo

AAVE : Stani KULECHOV @StaniKulechov

Sygnum Bank : Martin BURGHERR","Stake Capital , Centrifuge, Sygnum, AAVE","Poço do Borratém 12, 1100-555 Lisboa, Portugal",Poço do Borratém 12,,
DeFi for Your Grandma,Panel on scaling DeFi from a niche market for degens to a mass market that benefits everyone,"DeFi is growing exponentially and has the potential to give financial freedom to billions of people. But it's also completely overwhelming, even for degens: too much complexity, too many interfaces, too many risks. Join our panel for an open discussion on how we design new tools and systems to make DeFi more accessible, so people spend less time trying to figure out how and what to invest in, and more time reaping the benefits of DeFi.",10/19/2021,10/19/2021,06:00:00 PM,10:00:00 PM,https://www.eventbrite.com/e/defi-for-your-grandma-tickets-167036499667,yes,"events,drinks","SimpleFi, StakeDAO, Celo, Polygon and Angle Protocol","TRGC, SimpleFi, StakeDAO, Celo, Polygon and Angle Protocol","Mercado de Ribeira, Avenida 24 de Julho, 1200-479 Lisbon",Second Home,,
Brunchpool,For the morrow has no place for rules and diet.,"""As the game comes to a close, finish line in sight,

The champions must suffer the dawn, as they brave the light.

But fear not you who has been chosen,

As the brunchpool, not unlike safe haven

Will bring to you much deserved feast and quiet

For the morrow has no place for rules and diet.

More infos are coming ... Apes are bringing the alpha leak

Brunchpool by Blackpool, Centrifuge & OVR""",10/22/2021,10/22/2021,11:30:00 AM,03:00:00 PM,https://www.eventbrite.pt/e/brunchpool-tickets-182663029037,Lisbon,drinks,@blackpoolHQ @Centrifuge,,,Lisbon,,
Real World NFT,What about a .jpg more expensive than an house and a token of an house cheaper than a framed .jpg ? ,"What about a .jpg more expensive than an house and a token of an house cheaper than a framed .jpg ?

It is time to discuss serious topics around NFT folks !",10/22/2021,10/22/2021,04:00:00 PM,06:00:00 PM,https://www.eventbrite.pt/e/real-world-nft-panel-tickets-182363192217,12 Poço do Borratém 1100-240 Lisboa Portugal,panel,"Balckpool, Centrifuge, Arianee, Ethernaal, ORWL",,Poço do Borratém 12 12 Poço do Borratém 1100-240 Lisboa Portugal,Poço do Borratém 12,,
Non Fungible Auction,What if the NFT season had a positive impact in the world?,"Blackpool, Stake DAO & Centrifuge have come together to host an NFT charity auction.

They have decided to bring together successful NFT projects and ask them to put up a unique NFT for sale, which will exist solely for this event and the proceeds will be distributed in whole or in part to charity.

For details you will have to come or connect to the Blackpool twitch channel. The auction will be accessible to live listeners as well.

The NFT broadcasters are :

Blackpool

Stake DAO

Centrifuge

Arianee

Satoshi Studio

Cometh

So Rare

Solid NFT

Our professional auctioneers: ORWL lawyers",10/22/2021,10/22/2021,07:00:00 PM,09:00:00 PM,https://www.eventbrite.pt/e/non-fungible-auction-tickets-183889728127,Lisbon,auctions,"Blackpool, Centrifuge","Stake DAO, Arianee, Cometh, SoRare, Solid, Satoshi Studio",,,,
DAOtown by Aragon,The best in-person Web3 party in Lisbon,"DAOs are eating the world, and DAO tooling is accelerating the pace at which Web3's premise can be fulfilled. Join us at DAOTown, the best in-person crypto party in Lisbon where we bring together 500 Web3 enthusiasts of all walks of life together to celebrate the advancement of DAOs.

Please follow our Telegram Group for updates https://t.me/joinchat/scUHGpFF9dVhM2Ey",10/20/2021,10/20/2021,07:00:00 PM,01:00:00 AM,"kickback##https://polygon.kickback.events/event/0xf3b7efaf2277ca997d5b1a3c89cea06212aaea49,eventbrite##https://www.eventbrite.com/e/daotown-by-aragon-tickets-183323203637","Suspenso Lisboa / R. de Santiago 19, 1100-001 Lisboa, Portugal",drinks,,,"Suspenso Lisboa R. de Santiago 19, 1100-001 Lisboa, Portugal",Suspenso Lisboa,https://drive.google.com/open?id=1v1jyI4KOwjtPNI-epPZcQe7cOtbqod12,"If you want to receive a POAP and free drinks, please register via Kickback, otherwise you are free to use Eventbrite."
The Daoist,The place to talk shop for DAOists,Soon,10/19/2021,10/19/2021,08:00:00 AM,04:00:00 PM,https://www.thedaoist.co,Light,"conferences, workshops, drinks",,,,Light,,
LisCon (Day 1),"2-days conference for builders, thinkers and creators across the space","LisCon is a celebration of our culture and values, a coming together of builders, thinkers and creators across the space.

LisCon is the perfect opportunity to:
- Be together in a beautiful location
- Celebrate Web3 culture & community
- Share latest project updates, educate newcomers, engage the community",10/20/2021,10/20/2021,09:00:00 AM,07:00:00 PM,https://liscon.org,LxFactory,"conferences, workshops, panels",,,"R. Rodrigues de Faria 103, 1300-501 Lisboa, Portugal",LxFactory,https://pbs.twimg.com/profile_banners/1422884060293210112/1628875625/1500x500,
LisCon (Day 2),"2-days conference for builders, thinkers and creators across the space","LisCon is a celebration of our culture and values, a coming together of builders, thinkers and creators across the space.

LisCon is the perfect opportunity to:
- Be together in a beautiful location
- Celebrate Web3 culture & community
- Share latest project updates, educate newcomers, engage the community",10/21/2021,10/21/2021,09:00:00 AM,07:00:00 PM,https://liscon.org,LxFactory,"conferences, workshops, panels",,,"R. Rodrigues de Faria 103, 1300-501 Lisboa, Portugal",LxFactory,https://pbs.twimg.com/profile_banners/1422884060293210112/1628875625/1500x500,
EthLisbon Hackathon (Day 1),The place for BUIDLers and innovators ,"EthLisbon is the most anticipated hackathon event in recent times, and the one that originated the Lisbon Blokchain Week in the first place. Join us for 3 days of non-stop BUIDLing and innovation!",10/22/2021,10/22/2021,09:00:00 AM,12:00:00 AM,https://www.ethlisbon.org/,The Fintech House,"hackathons, workshops",,"Lightshift Capital, 1kx, Department of Decentralization, The Block, Portugal Fintech, Fintech House","Praça da Alegria 22, 1250-217 Lisboa, Portugal",The Fintech House,"https://static.wixstatic.com/media/493ae1_583671f0ce4d4c319c01a76d1c429d37~mv2.png/v1/fill/w_2048,h_522,al_c,q_90/493ae1_583671f0ce4d4c319c01a76d1c429d37~mv2.webp",
